isrc,song_title,artist,spirit_songwriters,lum_us_streams_12mo,lum_us_ondemand_12mo,lum_radio_spins_12mo,lum_radio_audience_12mo,source_ok
DEUM72603114,Cola,CAKES,Melodie Wagner,33863,33863,0,0,yes
USUG12604541,She Got It,Blake Proehl,Connor McCutcheon,846254,844104,0,0,yes
QZAKB2562380,Burden,Dylan Rockoff,Justin Halpin,6556,6556,0,0,yes
USUG12603062,Ashes,Camylio,"Camylio,Coleton Rubin",21919,16963,0,0,yes
USUG12603063,Before You Do,Camylio,"Camylio,Coleton Rubin",33683,30271,0,0,yes
USUG12603067,Steal Some Love,Camylio,"Camylio,Joe Janiak",44409,37816,0,0,yes
USUG12403164,Angel,Camylio,Camylio,1155684,1110245,0,0,yes
USUG12603065,How Far Down,Camylio,Camylio,92775,89445,0,0,yes
USUG12601283,Fall Into You,Camylio,"Camylio,Joe Janiak",242647,200705,0,0,yes
USUG12603064,Gravity,Camylio,Camylio,87716,80075,0,0,yes
USUG12603068,Strung Out On You,Camylio,Camylio,30447,27545,0,0,yes
USUG12603069,Take My Bones,Camylio,"Camylio,Coleton Rubin",75551,51627,0,0,yes
USUG12402922,Trouble,Camylio,Camylio,3095301,2940304,0,0,yes
USUG12603066,Nightmare,Camylio,Camylio,40736,38977,0,0,yes
USUG12603061,Waterfall,Camylio,Camylio,96413,75997,0,0,yes
USUG12505198,Psycho,Camylio,Camylio,289888,278160,0,0,yes
QM6P42635875,Vodka Soda,408,"Cale Dodds,Justin Halpin",281881,275606,0,0,yes
QZEQU2600924,Maybe Baby,Brody Clementi,"Nick Autry,Jessica Cayne",214962,214557,0,0,yes
CA5KR2652570,Strangers to Strangers,Zach Hood,Sawyer Utah,291653,289773,0,0,yes
GBRKQ2615687,Wild Kids,Toby Lightman,Shane Stevens,6066,5163,0,0,yes
QMDPP2602745,Rather Be The Fire,Bryan Martin,Adam Wood,764342,668368,0,0,yes
QZ9H32600046,Who Knew Your Body,Mustard Service,Marco Ochoa,137999,137829,15,9000,yes
DEUM72602921,Heroes Of The Night,Alle Farben,Melodie Wagner,45701,34995,1,1100,yes
